지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),최소상대습도(%),월합강수량(00~24h만)(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),평균운량(1/10),합계 일조시간(hr),일조율(%),평균지면온도(°C)
90,속초,Jan-21,-1.2,2.9,-5.5,9.7,-16.1,1019.9,1022.2,2.9,43,10,0,0,2.3,9,3.6,200.4,65.58,-0.3
90,속초,Feb-21,3.1,7.7,-1.5,17.8,-10.1,1016.3,1018.5,4.2,51,13,5,4.8,2.3,8.1,3.6,214.2,70.93,4.5
90,속초,Mar-21,8,12.6,3.7,18.9,-4.5,1016.8,1018.9,6.6,64,14,104.2,73.4,2,9.3,5,209,56.29,8.4
90,속초,Apr-21,12.3,16.6,7.8,23.8,2,1016,1018.1,8.5,61,15,97.2,40.5,2.3,9.5,4.7,228.4,57.62,14.7
90,속초,May-21,16.7,21.5,12.1,29.8,7.6,1005.8,1007.8,11.6,63,14,154.9,67,2.1,10,5.2,239.6,54.21,19.8
90,속초,Jun-21,20.3,23.8,17.1,30,12.9,1006.1,1008.1,18.9,81,26,43.8,10.2,1.7,8,6.1,185.7,41.89,23.3
90,속초,Jul-21,25.5,29.3,22.3,33.2,18.1,1006.9,1008.9,27.5,85,50,104.1,50.3,1.5,5.9,5.2,270,59.92,33.3
90,속초,Aug-21,24.4,28,21.5,33.8,17.1,1006.9,1008.9,24.3,80,42,247.1,83.5,1.6,7.3,7.4,133,31.51,27.2
90,속초,Sep-21,20.9,24.7,17.6,28.8,14.6,1012.7,1014.7,19.6,80,31,141.6,43.1,1.7,8.7,5.5,195.8,52.49,23.9
90,속초,Oct-21,15.5,20,11.6,27.5,2.2,1018.9,1021,12.7,69,28,216.9,56.9,1.8,8.2,5.5,174,50.09,16.1
90,속초,Nov-21,9.9,14.4,5.7,20.1,-1.8,1015.1,1017.2,6.5,50,8,16.2,10.9,2.2,9.3,3.5,208.2,70.99,9.2
90,속초,Dec-21,2.8,7.2,-1.9,13.9,-14.9,1019.6,1021.9,3.8,47,14,68.7,42.1,2.2,9.2,3,219.8,74.21,2.7
90,속초,Jan-22,-0.6,3,-4.5,7.8,-9.8,1020.5,1022.7,2.9,48,14,3.6,3.1,1.9,7.1,3.2,227.2,74.37,0.2
90,속초,Feb-22,0.3,4.3,-3.9,12.7,-10.9,1020.5,1022.7,2.7,40,10,11.1,8.1,2.3,7.8,2.5,243.8,80.76,0.5
90,속초,Mar-22,7.1,11.3,2.9,21,-2,1014.4,1016.6,6,61,9,114.5,29.2,2.1,11.9,4.8,189.4,51.08,7.2
90,속초,Apr-22,14.2,19.1,8.8,29.8,1.8,1013.6,1015.7,8.4,55,12,33.5,15.6,2.3,8.6,3.7,269,67.93,16.2
90,속초,May-22,18.5,23.7,13.1,33.5,5.8,1008.4,1010.5,11,54,12,9.1,7.7,2.2,8.4,4.3,312.7,70.76,24
90,속초,Jun-22,20.9,24.7,17.6,34.6,10.1,1005.4,1007.4,19.3,79,16,248.7,75.4,1.9,7.9,6.5,169.6,38.26,24.8
90,속초,Jul-22,24.3,27.7,21.9,33.4,18.8,1004.4,1006.4,26.4,88,51,213.1,87.2,1.5,7.5,6.6,135.5,30.07,28.5
90,속초,Aug-22,24.6,28.4,21.3,35.5,15.8,1004.4,1006.4,25.2,81,36,323.7,110.9,1.3,6.2,6.7,151.1,35.75,27.2
90,속초,Sep-22,20.3,24.8,16.3,29.2,10.9,1012.3,1014.3,18.2,76,25,263.8,119.4,1.8,8.6,5.4,203.7,54.55,22.7
